Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz),Building Height (m),Number of Stories,Structural Material,Foundation Type,Natural Frequency (Hz),Damping Ratio (%),Mass of Structure (kg),Axial Stiffness (kN/m),Bending Stiffness (kN·m²),Lateral Load Resisting System,Predicted Max Inter-Story Drift Ratio (%),Predicted Max Roof Displacement (m),Predicted Base Shear Force (kN),Predicted Structural Acceleration (m/s²),Predicted Damage Index (0–1 Scale),Predicted Collapse Probability (%)
High,0.378901385,0.3120267,0.057182643,0.634075509,Sand,0.9391575,6.875154487,22.20344902,1.683141126,40.39405252,17,Masonry,Raft,2.000261057,3.049385954,737892.3806,3150.171653,25771.75096,Moment Frame,2.126095676,0.839807321,3927.940393,0.767494043,0.804541801,80.4541801
Very High,1.346301004,1.25580705,0.204481239,1.728550813,Clay,1.089760977,6.829334228,6.947243667,4.041679986,7.726434029,48,Composite,Deep,2.417597635,1.890140019,68704.84638,3245.33759,32856.945,Moment Frame,2.880256417,1.530931591,2923.719143,1.84815625,0.706410533,70.64105329
Low,0.502373435,0.633994525,0.443303801,0.156820073,Rock,2.689238931,7.100446866,33.22483047,5.84168142,155.5020664,34,Steel,Deep,0.259463945,4.900715595,705858.693,7518.106276,16777.17128,Moment Frame,2.762881424,0.796000249,180.4469155,4.455967133,0.795635292,79.56352922
High,0.614900383,0.429642496,0.024551154,1.085647835,Rock,2.194323226,7.871919098,15.22507489,9.48572749,175.6317336,14,Composite,Raft,2.117097671,2.135044637,937792.3075,781.1392338,3013.866452,Braced Frame,2.96561818,1.303856652,4136.426423,3.787914858,0.7667752,76.67751995
High,0.181328733,0.821527894,0.480746893,0.38305603,Rock,1.357042559,8.841107155,71.28337427,0.780634426,124.761727,17,Composite,Shallow,2.410048747,4.935664155,728244.9758,4118.984745,25287.55473,Braced Frame,0.81941793,1.519644813,926.8679179,1.460147264,0.205367884,20.53678837
Very High,0.256117097,1.622746975,0.339902122,1.310774349,Rock,2.021650816,4.831035094,53.83881595,5.123201529,41.69899643,3,Masonry,Shallow,4.553476607,7.588884302,84954.03808,4371.576611,1628.09834,Braced Frame,3.522698424,0.652245092,325.2522452,1.902775234,0.49955901,49.95590102
Low,0.822206664,0.844977796,0.316056613,0.399013482,Soft Soil,1.960675169,4.740455711,15.23961263,3.356305804,60.6292094,34,Composite,Deep,4.491140834,7.150497698,408991.3587,5108.546327,47581.63561,Moment Frame,0.810712031,1.597053974,4259.276294,3.120526223,0.960414187,96.04141871
Low,0.474629747,1.526462334,0.136009069,0.500151545,Rock,2.241959153,8.718976518,1.914917252,5.132285773,97.80570599,40,Masonry,Shallow,4.837265908,3.524144382,819102.2372,6855.604735,40037.49866,Braced Frame,0.171622733,0.684462177,2852.941796,2.139085094,0.343532945,34.35329446
High,1.269672316,0.338423964,0.125147103,0.940430379,Soft Soil,1.31301262,6.884440315,81.00754785,0.337356929,191.0974606,25,Concrete,Raft,4.448503928,7.063862943,960678.1225,4012.024436,10408.47905,Shear Wall,3.161422493,0.51965305,686.3304094,2.56491617,0.970487091,97.04870906
Moderate,0.120570744,1.568265697,0.471087052,1.655219415,Soft Soil,2.701686572,7.267063566,18.44324621,3.198951012,53.2335175,2,Concrete,Shallow,0.239363405,9.349409178,401655.1879,2524.802491,15091.0157,Shear Wall,0.672876504,0.452667874,1963.386183,3.521025214,0.583161711,58.31617114
High,0.630731668,0.550173317,0.149837955,0.459914433,Rock,1.480610837,6.670906207,61.01544758,8.216694661,147.6709513,34,Masonry,Deep,3.279012091,4.127719484,849134.3531,8906.291985,49159.08885,Braced Frame,3.87501702,0.40780925,473.4312528,2.389529156,0.461611418,46.16114177
High,0.572283765,1.387046947,0.387977143,0.345208036,Rock,2.327089639,4.921458537,34.35526939,5.584023165,90.69240354,26,Concrete,Raft,0.527540879,3.962072383,870619.3815,9819.866953,19303.87915,Shear Wall,4.343233172,1.476876905,3208.153494,1.035751969,0.657757465,65.7757465
High,0.127058683,1.174984954,0.197167777,1.390260614,Sand,0.835474222,7.956402203,58.96310789,4.560766679,63.08023293,31,Steel,Shallow,1.508452575,6.142947863,167122.0794,690.1395851,39402.39551,Shear Wall,4.729210272,1.77614343,1448.014968,2.650812293,0.815839171,81.58391712
